colorNameId,participantId,lang0,phaseNum,trialNum,tileNum,name,r,g,b,lab_l,lab_a,lab_b,bin
344,3161,English (English),0,3,7,Blue-green,0,255,137,88,-75,42,12
345,3161,English (English),0,3,8,Purple,144,0,255,42,84,-89,26
346,3161,English (English),0,3,9,Yellow,255,214,0,86,-1,86,5
347,3161,English (English),0,3,10,Turquoise,0,255,188,89,-65,18,13
348,3161,English (English),0,3,11,Orange,255,121,0,65,46,73,2
349,3169,English (English),0,1,0,hot pink,255,0,214,58,92,-41,29
350,3169,English (English),0,1,1,purple-pink,236,0,255,57,95,-66,28
351,3169,English (English),0,1,2,lime green,113,255,0,89,-71,85,9
352,3169,English (English),0,1,3,royal blue,0,55,255,37,62,-98,24
353,3169,English (English),0,1,4,orange,255,167,0,75,22,79,3
354,3169,English (English),0,1,5,hot pink,255,0,162,55,87,-14,31
355,3169,English (English),0,1,6,purple,138,0,255,42,83,-91,26
356,3169,English (English),0,1,7,turquoise,0,255,255,91,-48,-14,15
357,3169,English (English),0,1,8,darker turqouoise,0,223,255,81,-33,-28,17
358,3169,English (English),0,1,9,red,255,0,34,53,80,56,35
359,3169,English (English),0,1,10,chartreuse,223,255,0,94,-34,91,7
360,3169,English (English),0,1,11,hot red-pink,255,0,94,54,82,23,33
361,3165,English (English),0,3,0,Blue,0,173,255,67,-7,-50,19
362,3165,English (English),0,3,1,Green,0,255,115,88,-78,52,11
363,3165,English (English),0,3,2,Pink,255,0,139,55,85,-2,32
364,3165,English (English),0,3,3,Blue,0,135,255,56,14,-67,20
365,3165,English (English),0,3,4,Orange,255,119,0,65,47,73,1
366,3165,English (English),0,3,5,Green,116,255,0,89,-71,85,9
367,3165,English (English),0,3,6,Lime,164,255,0,91,-56,87,8
368,3165,English (English),0,3,7,Red,255,0,63,53,81,41,34
369,3165,English (English),0,3,8,Teal,0,255,156,88,-71,33,12
370,3165,English (English),0,3,9,Orange,255,159,0,73,27,78,3
371,3165,English (English),0,3,10,Blue,0,102,255,47,35,-82,22
372,3165,English (English),0,3,11,Blue,0,40,255,35,69,-102,24
373,3168,English (English),0,1,0,Violet,95,0,255,37,81,-99,26
374,3168,English (English),0,1,1,Medium orange,255,127,0,66,43,73,2
375,3168,English (English),0,1,2,Shamrock,0,255,129,88,-76,46,12
376,3168,English (English),0,1,3,Fushia,205,0,255,52,91,-74,27
377,3168,English (English),0,1,4,Medium cyan,0,154,255,61,2,-59,20
378,3168,English (English),0,1,5,Neon green,0,255,94,88,-81,61,11
379,3168,English (English),0,1,6,Light orange,255,164,0,74,24,78,3
380,3168,English (English),0,1,7,Sunflower yellow,255,192,0,81,9,83,4
381,3168,English (English),0,1,8,Light cyan,0,190,255,72,-17,-42,18
382,3168,English (English),0,1,9,Mint,0,255,178,89,-67,22,13
383,3168,English (English),0,1,10,Aqua,0,240,255,86,-41,-20,16
384,3168,English (English),0,1,11,Cyan,0,105,255,48,33,-80,22
